보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
광덕면001,1,,충청남도 천안시 동남구 광덕면 매당리 356,36.71494595,127.1174524,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면002,1,,충청남도 천안시 동남구 광덕면 매당리 356,36.71494595,127.1174524,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면003,1,,충청남도 천안시 동남구 광덕면 매당리 356,36.71494595,127.1174524,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면004,1,,충청남도 천안시 동남구 광덕면 매당리 357-3,36.71470642,127.1169739,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면005,1,,충청남도 천안시 동남구 광덕면 매당리 357-2,36.71437535,127.1165403,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면006,1,,충청남도 천안시 동남구 광덕면 매당리 360-20,36.71425061,127.1158335,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면007,1,,충청남도 천안시 동남구 광덕면 매당리 360-12,36.71419081,127.1151469,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면008,1,,충청남도 천안시 동남구 광덕면 매당리 360-12,36.71419907,127.1151469,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면009,1,,충청남도 천안시 동남구 광덕면 매당리 370-1,36.71355758,127.1154348,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면010,1,,충청남도 천안시 동남구 광덕면 매당리 358-3,36.71443558,127.1172887,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면011,1,,충청남도 천안시 동남구 광덕면 매당리 358-6,36.71422516,127.1172459,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면012,1,,충청남도 천안시 동남구 광덕면 매당리 358-4,36.71426858,127.1169846,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면013,1,,충청남도 천안시 동남구 광덕면 매당리 272,36.71110153,127.1142029,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면014,1,,충청남도 천안시 동남구 광덕면 매당리 271-1,36.71070697,127.1143036,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
